# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2015)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Synthesized on Tue Jul 24 07:38:22 2018
# Molecular abundance atmprofile: Earth at 4084 m, NASA/MERRA 2017/01/02
# Molecules considered: H2O,CO2,O3,O2
# Molecular sources: HIT[1],HIT[2],HIT[3],HIT[7]
# Molecular abundances: 50,1,1,1
# Molecular abundance units: ppm,scl,scl,scl
# ------------------------------------------------------------------------
# Spectral unit: Frequency[GHz]
# Wave/freq Total H2O CO2 O3 O2
6.980000000e+02  0.81225  0.81981  1.00000  0.99738  0.99338
6.970000000e+02  0.81312  0.82218  1.00000  0.99506  0.99389
6.960000000e+02  0.80550  0.82445  1.00000  0.98260  0.99431
6.950000000e+02  0.78554  0.82654  1.00000  0.95552  0.99465
6.940000000e+02  0.79433  0.82821  1.00000  0.96408  0.99483
6.930000000e+02  0.76977  0.82801  1.00000  0.93567  0.99365
6.920000000e+02  0.75639  0.81927  1.00000  0.92821  0.99460
6.910000000e+02  0.82239  0.83317  1.00000  0.99132  0.99570
6.900000000e+02  0.83234  0.83744  1.00000  0.99789  0.99600
6.890000000e+02  0.83618  0.84031  1.00000  0.99887  0.99622
6.880000000e+02  0.83898  0.84276  1.00000  0.99911  0.99640
6.870000000e+02  0.84117  0.84505  1.00000  0.99884  0.99657
6.860000000e+02  0.84315  0.84726  1.00000  0.99844  0.99671
6.850000000e+02  0.84508  0.84941  1.00000  0.99805  0.99684
6.840000000e+02  0.82546  0.85151  1.00000  0.97237  0.99696
6.830000000e+02  0.84753  0.85358  1.00000  0.99582  0.99707
6.820000000e+02  0.85198  0.85561  1.00000  0.99857  0.99717
6.810000000e+02  0.85455  0.85762  1.00000  0.99915  0.99726
6.800000000e+02  0.85635  0.85960  1.00000  0.99887  0.99735
6.790000000e+02  0.85714  0.86154  1.00000  0.99747  0.99742
6.780000000e+02  0.85955  0.86346  1.00000  0.99799  0.99747
6.770000000e+02  0.85557  0.86534  1.00000  0.99117  0.99751
6.760000000e+02  0.85352  0.86720  1.00000  0.98669  0.99749
6.750000000e+02  0.86348  0.86902  1.00000  0.99625  0.99737
6.740000000e+02  0.84150  0.87082  1.00000  0.96942  0.99681
6.730000000e+02  0.84855  0.87257  1.00000  0.98143  0.99086
6.720000000e+02  0.79581  0.87402  1.00000  0.91732  0.99280
6.710000000e+02  0.85545  0.87394  1.00000  0.98181  0.99698
6.700000000e+02  0.79665  0.87361  1.00000  0.91406  0.99763
6.690000000e+02  0.86271  0.87324  1.00000  0.99007  0.99785
6.680000000e+02  0.86339  0.87283  1.00000  0.99120  0.99796
6.670000000e+02  0.83324  0.87236  1.00000  0.95703  0.99803
